ITEM,MEDICAMENTO,LOCAL_DE_DISPENSACAO,DISTRITAIS,DISTRITAL TANCREDO NEVES,DISTRITAL WILSON PAULO NOAL,FARMÁCIAS DISTRITAIS,MUNICIPAL,POPULAR,UBS,CID,INFORMAÇÕES ADICIONAIS
39.0,IBUPROFENO 600 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
40.0,INSULINA NPH TUBETE 3 ML,"MUNICIPAL, DISTRITAL WILSON PAULO NOAL E DISTRITAL TANCREDO NEVES",0.0,1.0,1.0,0.0,1.0,0.0,0.0,,
41.0,INSULINA REGULAR TUBETE 3 ML,"MUNICIPAL, DISTRITAL WILSON PAULO NOAL E DISTRITAL TANCREDO NEVES",0.0,1.0,1.0,0.0,1.0,0.0,0.0,,
42.0,"ISOSSORBIDA, MONONITRATO, 20 MG COMPRIMIDO",MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
43.0,IVERMECTINA 6 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
44.0,LACTULOSE 667 MG/ML XAROPE,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
45.0,"LEVONORGESTREL 0,75 MG C/ 2 CP",FARMÁCIAS DISTRITAIS E UBS,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,
46.0,"LEVONORGESTREL, ASSOCIADO À ETINILESTRADIOL, 0,15 MG + 0,03 MG, BLISTER CALENDÁRIO COM 21 COMPRIMIDOS","MUNICIPAL, DISTRITAIS E UBS",1.0,0.0,0.0,0.0,1.0,0.0,1.0,,
47.0,LEVOTIROXINA SÓDICA 25 MCG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
48.0,LEVOTIROXINA SÓDICA 50 MCG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
49.0,LEVOTIROXINA SÓDICA 100 MCG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
50.0,LORATADINA 10 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
51.0,METILDOPA 250 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
52.0,METOCLOPRAMIDA 10 MG,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
53.0,"METOPROLOL, SUCCINATO, 100 MG COMPRIMIDO SULCADO",MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
54.0,METRONIDAZOL 400 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
55.0,"METRONIDAZOL, 100 MG/G, GEL VAGINAL 50 G",MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
56.0,MICONAZOL 2% - CREME VAGINAL 80 G,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
57.0,"NEOMICINA, ASSOCIADA COM BACITRACINA, 5 MG + 250 UI/G, POMADA 10 G",MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
58.0,NIFEDIPINO RETARD 20 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
59.0,NIMESULIDA 100 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
60.0,NISTATINA 100.000 UI/ML SUSPENSÃO ORAL 50 ML,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
61.0,NITROFURANTOÍNA 100 MG CÁPSULA,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
62.0,"NORETISTERONA 0,35 MG, BLISTER CALENDÁRIO COM 35 COMPRIMIDOS","MUNICIPAL, DISTRITAIS E UBS",1.0,0.0,0.0,0.0,1.0,0.0,1.0,,
63.0,NORFLOXACINO 400 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
64.0,ÓLEO MINERAL 100 ML,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
65.0,OMEPRAZOL 20 MG CÁPSULA,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
66.0,ONDANSETRONA 4 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
67.0,OSELTAMIVIR 30 MG (TAMIFLU 30 MG) CÁPSULA,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
68.0,OSELTAMIVIR 45 MG (TAMIFLU 45 MG) CÁPSULA,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
69.0,OSELTAMIVIR 75 MG (TAMIFLU 75 MG) CÁPSULA,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
70.0,PARACETAMOL 750 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
71.0,PARACETAMOL 200 MG/ML - GOTAS 15 ML,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
72.0,PERMETRINA LOÇÃO 10 MG/ML FRASCO 60 ML,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
73.0,PERMETRINA LOÇÃO 50 MG/ML FRASCO 60 ML,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
74.0,"PREDNISOLONA, FOSFATO SÓDICO, 3 MG/ML, SOLUÇÃO ORAL 60 ML",MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
75.0,PREDNISONA 5 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
76.0,PREDNISONA 20 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
77.0,PROMETAZINA 25 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
78.0,"SAIS PARA REIDRATAÇÃO ORAL, PÓ, PARA 1.000 ML DE SOLUÇÃO PRONTA, PADRÃO OMS, ENVELOPE CONTENDO 27,9 GRAMAS",MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
79.0,"SULFAMETOXAZOL ASSOCIADO À TRIMETOPRIMA, 200 MG + 40 MG/5ML - SUSPENSÃO ORAL 100 ML",MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
80.0,"SULFAMETOXAZOL, ASSOCIADO À TRIMETOPRIMA, 400 MG + 80 MG COMPRIMIDO",MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
81.0,"SULFATO FERROSO, 125 MG/ML (25 MG/ML DE FERRO II) - GOTAS 30 ML",MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
82.0,SULFATO FERROSO EQUIVALENTE A 40 MG FERRO II COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
83.0,"TIMOLOL 0,5%, SOLUÇÃO OFTÁLMICA, FRASCO 5 ML","MUNICIPAL, DISTRITAIS E POPULAR",1.0,0.0,0.0,0.0,1.0,1.0,0.0,,
84.0,VARFARINA SÓDICA 5 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
85.0,VERAPAMIL 80 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
86.0,VITAMINA A + VITAMINA D GOTAS (50.000 + 10.000 UI/ML),MUNICIPAL E DISTRITAIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,
1.0,ÁCIDO VALPRÓICO 250 MG CÁPSULA,MUNICIPAL E DISTRITAIS,1.0,,,,1.0,,,,
2.0,AMITRIPTILINA 25 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,,,,1.0,,,,
3.0,BIPERIDENO 2 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,,,,1.0,,,,
4.0,CARBAMAZEPINA 20 MG/ML - SUSPENSÃO ORAL 100 ML,MUNICIPAL E DISTRITAIS,1.0,,,,1.0,,,,
5.0,CARBAMAZEPINA 200 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,,,,1.0,,,,
6.0,CARBONATO DE LÍTIO 300 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,,,,1.0,,,,
7.0,"CLONAZEPAM 0,5 MG COMPRIMIDO",MUNICIPAL E DISTRITAIS,1.0,,,,1.0,,,,
8.0,CLONAZEPAM 2 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,,,,1.0,,,,
9.0,CLORPROMAZINA 100 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,,,,1.0,,,,
10.0,DIAZEPAM 5 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,,,,1.0,,,,
11.0,FENITOÍNA SÓDICA 100 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,,,,1.0,,,,
12.0,FENOBARBITAL SÓDICO 40 MG/ML - SOLUÇÃO ORAL 20 ML,MUNICIPAL E DISTRITAIS,1.0,,,,1.0,,,,
13.0,FENOBARBITAL SÓDICO 100 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,,,,1.0,,,,
14.0,FLUOXETINA 20 MG CÁPSULA,MUNICIPAL E DISTRITAIS,1.0,,,,1.0,,,,
15.0,HALOPERIDOL 1 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,,,,1.0,,,,
16.0,HALOPERIDOL 2 MG/ML - SOLUÇÃO ORAL 20 ML,MUNICIPAL E DISTRITAIS,1.0,,,,1.0,,,,
17.0,HALOPERIDOL 5 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,,,,1.0,,,,
18.0,"HALOPERIDOL, SAL DECANOATO, 50 MG/ML, SOLUÇÃO INJETÁVEL, AMPOLA 1 ML",MUNICIPAL E DISTRITAIS,1.0,,,,1.0,,,,
19.0,IMIPRAMINA 25 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,,,,1.0,,,,
20.0,NORTRIPTILINA 25 MG CÁPSULA,MUNICIPAL E DISTRITAIS,1.0,,,,1.0,,,,
21.0,RISPERIDONA 1 MG COMPRIMIDO,MUNICIPAL E DISTRITAIS,1.0,,,,1.0,,,,
22.0,VALPROATO DE SÓDIO 50 MG/ML - XAROPE 100 ML,MUNICIPAL E DISTRITAIS,1.0,,,,1.0,,,,
,Fenofibrato 200 mg (cápsula),,,,,,,,,E78.0,Hipercolesterolemia pura
,Fenofibrato 200 mg (cápsula),,,,,,,,,E78.1,Hipergliceridemia pura
,Fenofibrato 200 mg (cápsula),,,,,,,,,E78.2,Hiperlipidemia mista
,Fenofibrato 200 mg (cápsula),,,,,,,,,E78.3,Hiperquilomicronemia
,Fenofibrato 200 mg (cápsula),,,,,,,,,E78.4,Outras hiperlipidemias
,Fenofibrato 200 mg (cápsula),,,,,,,,,E78.5,Hiperlipidemia não especificada
,Fenofibrato 200 mg (cápsula),,,,,,,,,E78.6,Deficiências de lipoproteínas
,Fenofibrato 200 mg (cápsula),,,,,,,,,E78.8,Outros distúrbios do metabolismo de lipoproteínas
,Fenofibrato 250 mg (cápsula de liberação retardada),,,,,,,,,E78.0,Hipercolesterolemia pura
,Fenofibrato 250 mg (cápsula de liberação retardada),,,,,,,,,E78.1,Hipergliceridemia pura
,Fenofibrato 250 mg (cápsula de liberação retardada),,,,,,,,,E78.2,Hiperlipidemia mista
,Fenofibrato 250 mg (cápsula de liberação retardada),,,,,,,,,E78.3,Hiperquilomicronemia
,Fenofibrato 250 mg (cápsula de liberação retardada),,,,,,,,,E78.4,Outras hiperlipidemias
,Fenofibrato 250 mg (cápsula de liberação retardada),,,,,,,,,E78.5,Hiperlipidemia não especificada
,Fenofibrato 250 mg (cápsula de liberação retardada),,,,,,,,,E78.6,Deficiências de lipoproteínas
,Fenofibrato 250 mg (cápsula de liberação retardada),,,,,,,,,E78.8,Outros distúrbios do metabolismo de lipoproteí
,Fenoterol 100 mcg aerossol (frasco de 200 doses),,,,,,,,,J44.0,Doença pulmonar obstrutiva crônica com infecção respiratória aguda do trato respiratório inferior
,Fenoterol 100 mcg aerossol (frasco de 200 doses),,,,,,,,,J44.1,Doença pulmonar obstrutiva crônica com exacerbação aguda não especificada
,Fenoterol 100 mcg aerossol (frasco de 200 doses),,,,,,,,,J44.8,Outras formas especificadas de doença pulmonar obstrutiva crônica
,Fenoterol 100 mcg aerossol (frasco de 200 doses),,,,,,,,,J45.0,Asma predominantemente alérgica
,Fenoterol 100 mcg aerossol (frasco de 200 doses),,,,,,,,,J45.1,Asma não-alérgica
,Fenoterol 100 mcg aerossol (frasco de 200 doses),,,,,,,,,J45.8,Asma mista
,FILGRASTIM 300 MCG INJETÁVEL (FRASCO-AMPOLA OU SERINGA PREENCHIDA),,,,,,,,,B17.1,Hepatite aguda C
,FILGRASTIM 300 MCG INJETÁVEL (FRASCO-AMPOLA OU SERINGA PREENCHIDA),,,,,,,,,B18.2,Hepatite viral crônica C
,FILGRASTIM 300 MCG INJETÁVEL (FRASCO-AMPOLA OU SERINGA PREENCHIDA),,,,,,,,,B20.0,Doença pelo HIV resultando em infecções micobacterianas
,FILGRASTIM 300 MCG INJETÁVEL (FRASCO-AMPOLA OU SERINGA PREENCHIDA),,,,,,,,,B20.1,Doença pelo HIV resultando em outras infecções bacterianas
,FILGRASTIM 300 MCG INJETÁVEL (FRASCO-AMPOLA OU SERINGA PREENCHIDA),,,,,,,,,B20.2,Doença pelo HIV resultando em doença citomegálica
,FILGRASTIM 300 MCG INJETÁVEL (FRASCO-AMPOLA OU SERINGA PREENCHIDA),,,,,,,,,B20.3,Doença pelo HIV resultando em outras infecções virais
,FILGRASTIM 300 MCG INJETÁVEL (FRASCO-AMPOLA OU SERINGA PREENCHIDA),,,,,,,,,B20.4,Doença pelo HIV resultando em candidíase
,FILGRASTIM 300 MCG INJETÁVEL (FRASCO-AMPOLA OU SERINGA PREENCHIDA),,,,,,,,,B20.5,Doença pelo HIV resultando em outras micoses
,FILGRASTIM 300 MCG INJETÁVEL (FRASCO-AMPOLA OU SERINGA PREENCHIDA),,,,,,,,,B20.6,Doença pelo HIV resultando em pneumonia por Pneumocystis carinii
,FILGRASTIM 300 MCG INJETÁVEL (FRASCO-AMPOLA OU SERINGA PREENCHIDA),,,,,,,,,B20.7,Doença pelo HIV resultando em infecções múltiplas
,FILGRASTIM 300 MCG INJETÁVEL (FRASCO-AMPOLA OU SERINGA PREENCHIDA),,,,,,,,,B20.8,Doença pelo HIV resultando em outras doenças infecciosas e parasitárias
,FILGRASTIM 300 MCG INJETÁVEL (FRASCO-AMPOLA OU SERINGA PREENCHIDA),,,,,,,,,B20.9,Doença pelo HIV resultando em doença infecciosa ou parasitária não especificada
,FILGRASTIM 300 MCG INJETÁVEL (FRASCO-AMPOLA OU SERINGA PREENCHIDA),,,,,,,,,B22.0,Doença pelo HIV resultando em encefalopatia
,FILGRASTIM 300 MCG INJETÁVEL (FRASCO-AMPOLA OU SERINGA PREENCHIDA),,,,,,,,,B22.1,Doença pelo HIV resultando em pneumonite intersticial linfática
,FILGRASTIM 300 MCG INJETÁVEL (FRASCO-AMPOLA OU SERINGA PREENCHIDA),,,,,,,,,B22.2,Doença pelo HIV resultando em síndrome de emaciação
,FILGRASTIM 300 MCG INJETÁVEL (FRASCO-AMPOLA OU SERINGA PREENCHIDA),,,,,,,,,B22.7,Doença pelo HIV resultando em doenças múltiplas classificadas em outra parte
,FILGRASTIM 300 MCG INJETÁVEL (FRASCO-AMPOLA OU SERINGA PREENCHIDA),,,,,,,,,B23.0,Síndrome de infecção aguda pelo HIV
,FILGRASTIM 300 MCG INJETÁVEL (FRASCO-AMPOLA OU SERINGA PREENCHIDA),,,,,,,,,B23.1,Doença pelo HIV resultando em linfadenopatias generalizadas (persistentes)
,FILGRASTIM 300 MCG INJETÁVEL (FRASCO-AMPOLA OU SERINGA PREENCHIDA),,,,,,,,,B23.2,Doença pelo HIV resultando em anomalias hematológicas e imunológicas não classificadas em outra parte
,FILGRASTIM 300 MCG INJETÁVEL (FRASCO-AMPOLA OU SERINGA PREENCHIDA),,,,,,,,,B23.8,Doença pelo HIV resultando em outra afecções especificadas
,FILGRASTIM 300 MCG INJETÁVEL (FRASCO-AMPOLA OU SERINGA PREENCHIDA),,,,,,,,,B24,Doença pelo vírus da imunodeficiência humana [HIV] não especificada
,FILGRASTIM 300 MCG INJETÁVEL (FRASCO-AMPOLA OU SERINGA PREENCHIDA),,,,,,,,,D46.0,Anemia refratária sem sideroblastos
,FILGRASTIM 300 MCG INJETÁVEL (FRASCO-AMPOLA OU SERINGA PREENCHIDA),,,,,,,,,D46.1,Anemia refratária com sideroblastos
,FILGRASTIM 300 MCG INJETÁVEL (FRASCO-AMPOLA OU SERINGA PREENCHIDA),,,,,,,,,D46.4,"Anemia refratária, não especificada"
,FILGRASTIM 300 MCG INJETÁVEL (FRASCO-AMPOLA OU SERINGA PREENCHIDA),,,,,,,,,D46.7,Outras síndromes mielodisplásicas
,FILGRASTIM 300 MCG INJETÁVEL (FRASCO-AMPOLA OU SERINGA PREENCHIDA),,,,,,,,,D61.0,Anemia aplástica constitucional
,FILGRASTIM 300 MCG INJETÁVEL (FRASCO-AMPOLA OU SERINGA PREENCHIDA),,,,,,,,,D61.1,Anemia aplástica induzida por drogas
,FILGRASTIM 300 MCG INJETÁVEL (FRASCO-AMPOLA OU SERINGA PREENCHIDA),,,,,,,,,D61.2,Anemia aplástica devida a outros agentes externos
,FILGRASTIM 300 MCG INJETÁVEL (FRASCO-AMPOLA OU SERINGA PREENCHIDA),,,,,,,,,D61.3,Anemia aplástica idiopática
,FILGRASTIM 300 MCG INJETÁVEL (FRASCO-AMPOLA OU SERINGA PREENCHIDA),,,,,,,,,D61.8,Outras anemias aplásticas especificadas
,FILGRASTIM 300 MCG INJETÁVEL (FRASCO-AMPOLA OU SERINGA PREENCHIDA),,,,,,,,,D70,Agranulocitose
,FILGRASTIM 300 MCG INJETÁVEL (FRASCO-AMPOLA OU SERINGA PREENCHIDA),,,,,,,,,Z94.8,Outros órgãos e tecidos transplantados
,"FINGOLIMODE 0,5 MG (CÁPSULA)",,,,,,,,,G35,Esclerose múltipla
,"FLUDROCORTISONA 0,1 MG (COMPRIMIDO)",,,,,,,,,E25.0,Transtornos adrenogenitais congênitos associados à deficiência enzimática
,"FLUDROCORTISONA 0,1 MG (COMPRIMIDO)",,,,,,,,,E27.1,Insuficiência adrenocortical primária
,"FLUDROCORTISONA 0,1 MG (COMPRIMIDO)",,,,,,,,,E27.4,Outras insuficiências adrenocorticais e as não
,FORMOTEROL 12 MCG (CÁPSULA INALANTE),,,,,,,,,J44.0,Doença pulmonar obstrutiva crônica com infecção respiratória aguda do trato respiratório inferior
,FORMOTEROL 12 MCG (CÁPSULA INALANTE),,,,,,,,,J44.1,Doença pulmonar obstrutiva crônica com exacerbação aguda não especificada
,FORMOTEROL 12 MCG (CÁPSULA INALANTE),,,,,,,,,J44.8,Outras formas especificadas de doença pulmonar obstrutiva crônica
,FORMOTEROL 12 MCG (CÁPSULA INALANTE),,,,,,,,,J45.0,Asma predominantemente alérgica
,FORMOTEROL 12 MCG (CÁPSULA INALANTE),,,,,,,,,J45.1,Asma não-alérgica
,FORMOTEROL 12 MCG (CÁPSULA INALANTE),,,,,,,,,J45.8,Asma mista
,FORMOTEROL 6 MCG + BUDESONIDA 200 MCG (CÁPSULA INALANTE),,,,,,,,,J44.0,Doença pulmonar obstrutiva crônica com infecção respiratória aguda do trato respiratório inferior
,FORMOTEROL 6 MCG + BUDESONIDA 200 MCG (CÁPSULA INALANTE),,,,,,,,,J44.1,Doença pulmonar obstrutiva crônica com exacerbação aguda não especificada
,FORMOTEROL 6 MCG + BUDESONIDA 200 MCG (CÁPSULA INALANTE),,,,,,,,,J44.8,Outras formas especificadas de doença pulmonar obstrutiva crônica
,FORMOTEROL 6 MCG + BUDESONIDA 200 MCG (CÁPSULA INALANTE),,,,,,,,,J45.0,Asma predominantemente alérgica
